n_lags,hidden_units,epochs,learning_rate,mse
16,80,200,0.004,0.21025042211806197
16,80,200,0.005,0.23530787340047774
16,80,200,0.006,0.2332127975044587
16,80,200,0.007,0.21032289633325718
16,80,200,0.008,0.20883011266734816
16,80,200,0.009,0.26644950223995956
16,80,200,0.01,0.26597163729357065
16,80,300,0.001,0.2896175043847869
16,80,300,0.002,0.2433042185470961
16,80,300,0.003,0.2221784862509712
16,80,300,0.004,0.179221665196967
16,80,300,0.005,0.2335865079927213
16,80,300,0.006,0.21735529345224341
16,80,300,0.007,0.22835966991068132
16,80,300,0.008,0.20576756259764079
16,80,300,0.009,0.20231760456651396
16,80,300,0.01,0.19960173683591537
16,80,400,0.001,0.18604926729449325
16,80,400,0.002,0.2720377084749811
16,80,400,0.003,0.23968674386701877
16,80,400,0.004,0.22868672863778655
16,80,400,0.005,0.2827181496976709
16,80,400,0.006,0.2157179009365962
16,80,400,0.007,0.21817583881244373
16,80,400,0.008,0.1934320736969896
16,80,400,0.009,0.2041207297088881
16,80,400,0.01,0.37857841803061604
16,80,500,0.001,0.2756628277204842
16,80,500,0.002,0.22259515433749186
16,80,500,0.003,0.2336311060949366
16,80,500,0.004,0.2790641498465021
16,80,500,0.005,0.23493501379025508
16,80,500,0.006,0.20828445561553482
16,80,500,0.007,0.21693420325418722
16,80,500,0.008,0.1869179537870271
16,80,500,0.009,0.19507584290466182
16,80,500,0.01,0.20642452684186108
16,90,200,0.001,0.2610162693219157
16,90,200,0.002,0.19625663647158356
16,90,200,0.003,0.2145512916260921
16,90,200,0.004,0.2574131382930513
16,90,200,0.005,0.34712093698447644
16,90,200,0.006,0.24904632233562926
16,90,200,0.007,0.22178000885875337
16,90,200,0.008,0.19740524938288073
16,90,200,0.009,0.20370863999867592
16,90,200,0.01,0.2058764475396381
16,90,300,0.001,0.20391120614211705
16,90,300,0.002,0.2240083386904331
16,90,300,0.003,0.23821715228641646
16,90,300,0.004,0.2303347430121715
16,90,300,0.005,0.22557305434017696
16,90,300,0.006,0.214991028710204
16,90,300,0.007,0.1992786257087439
16,90,300,0.008,0.21362632309091095
16,90,300,0.009,0.20633759782249916
16,90,300,0.01,0.21886364806569358
16,90,400,0.001,0.22780261122450077
16,90,400,0.002,0.22794515521957093
16,90,400,0.003,0.22765090886411316
16,90,400,0.004,0.22314604160562293
16,90,400,0.005,0.23418080967372437
16,90,400,0.006,0.2183294286399704
16,90,400,0.007,0.21079652358263667
16,90,400,0.008,0.3231223612380479
16,90,400,0.009,0.1888861934902375
16,90,400,0.01,0.18855921538039028
16,90,500,0.001,0.2401013878766917
16,90,500,0.002,0.23429730858918205
16,90,500,0.003,0.2303364835050404
16,90,500,0.004,0.23051312755131165
16,90,500,0.005,0.2232669472217305
16,90,500,0.006,0.2100071102874648
16,90,500,0.007,0.20714899435829262
16,90,500,0.008,0.21165529760360524
16,90,500,0.009,0.20225076665166267
16,90,500,0.01,0.2320660136937265
16,100,200,0.001,0.18254725052571805
16,100,200,0.002,0.28382595801420696
16,100,200,0.003,0.24691460143062893
16,100,200,0.004,0.22548101633101914
16,100,200,0.005,0.2122936144459732
16,100,200,0.006,0.2017870832308569
16,100,200,0.007,0.20158223142404266
16,100,200,0.008,0.21305201638920546
16,100,200,0.009,0.21252239445308702
16,100,200,0.01,0.1957772262164132
16,100,300,0.001,0.23066880388450037
16,100,300,0.002,0.23008480613255414
16,100,300,0.003,0.23444068046194547
16,100,300,0.004,0.2256513022241121
16,100,300,0.005,0.21330540405868725
16,100,300,0.006,0.21632952942743106
16,100,300,0.007,0.3490808057315837
16,100,300,0.008,0.20584841434522785
16,100,300,0.009,0.21773898308228237
16,100,300,0.01,0.3519750571734656
16,100,400,0.001,0.31096972380018073
16,100,400,0.002,0.22362174257617445
16,100,400,0.003,0.2270420661057245
16,100,400,0.004,0.23449869122286013
16,100,400,0.005,0.30317831898975084
16,100,400,0.006,0.2068703066794118
16,100,400,0.007,0.2643586401478708
16,100,400,0.008,0.20687639185373463
16,100,400,0.009,0.19963321504521578
16,100,400,0.01,0.21580724879793883
16,100,500,0.001,0.17024641925855058
16,100,500,0.002,0.3048142085113996
16,100,500,0.003,0.24084655590386891
16,100,500,0.004,0.21998237813979848
16,100,500,0.005,0.22031989426875956
16,100,500,0.006,0.29103517455063216
16,100,500,0.007,0.20310216592539915
16,100,500,0.008,0.20315994069769094
16,100,500,0.009,0.20481754434308916
16,100,500,0.01,0.222773885842411
20,50,200,0.001,0.22940975889855403
20,50,200,0.002,0.4814884860481808
20,50,200,0.003,0.19056869729416398
20,50,200,0.004,0.19949549687382734
20,50,200,0.005,0.1930171395366002
20,50,200,0.006,0.19200286432261285
20,50,200,0.007,0.18550007195177204
20,50,200,0.008,0.19772221714339264
20,50,200,0.009,0.20373276863788428
20,50,200,0.01,0.16679384714745057
20,50,300,0.001,0.32106142196291526
20,50,300,0.002,0.26296786620177925
20,50,300,0.003,0.23320963686864132
20,50,300,0.004,0.19636531221256343
20,50,300,0.005,0.1966329808395234
20,50,300,0.006,0.19744721774922305
20,50,300,0.007,0.2105536948813495
20,50,300,0.008,0.21067631577573037
20,50,300,0.009,0.23014214522500318
20,50,300,0.01,0.19623596823152387
20,50,400,0.001,0.74394239919753
20,50,400,0.002,0.192549773191571
20,50,400,0.003,0.33685806810006974
20,50,400,0.004,0.20153302071203488
20,50,400,0.005,0.1736709557034037
20,50,400,0.006,0.1885022571198098
20,50,400,0.007,0.26369645398143243
20,50,400,0.008,0.20905178503972946
20,50,400,0.009,0.18661745037549252
20,50,400,0.01,0.2104273750775046
20,50,500,0.001,0.21721285542597996
20,50,500,0.002,0.2609523430897545
20,50,500,0.003,0.3905191396565446
20,50,500,0.004,0.19077082433182155
20,50,500,0.005,0.19195752636747912
20,50,500,0.006,0.20041007250069134
20,50,500,0.007,0.19418955292086185
20,50,500,0.008,0.1874247339923125
20,50,500,0.009,0.19409958062165716
20,50,500,0.01,0.18890814573971326
20,60,200,0.001,0.355398179676267
20,60,200,0.002,0.25491706451869933
20,60,200,0.003,0.4054655543107375
20,60,200,0.004,0.19438405984176263
20,60,200,0.005,0.22976504426902583
20,60,200,0.006,0.20396472132163626
20,60,200,0.007,0.2811696516114433
20,60,200,0.008,0.17075951358154018
20,60,200,0.009,0.20451766034352098
20,60,200,0.01,0.18755485983618322
20,60,300,0.001,0.73792752877112
20,60,300,0.002,0.190655932554538
20,60,300,0.003,0.1906401707126055
20,60,300,0.004,0.1978509858422828
20,60,300,0.005,0.20090300964597468
20,60,300,0.006,0.21113714445332613
20,60,300,0.007,0.1987562363947864
20,60,300,0.008,0.19713957821698885
20,60,300,0.009,0.20048066566601436
20,60,300,0.01,0.16458034329496032
20,60,400,0.001,0.30145701847915657
20,60,400,0.002,0.18732756166677486
20,60,400,0.003,0.1295860520117834
20,60,400,0.004,0.21885573724356744
20,60,400,0.005,0.19920847594229413
20,60,400,0.006,0.2123849802004623
20,60,400,0.007,0.1876212122655091
20,60,400,0.008,0.17668354334098438
20,60,400,0.009,0.20402759865716733
20,60,400,0.01,0.20234381786171193
20,60,500,0.001,0.21833862874642182
20,60,500,0.002,0.19335358047496246
20,60,500,0.003,0.15518558701495191
20,60,500,0.004,0.1932435039486007
20,60,500,0.005,0.19620684611526606
20,60,500,0.006,0.3268871199608994
20,60,500,0.007,0.18923946501287417
20,60,500,0.008,0.19524570685098266
20,60,500,0.009,0.2075747517524091
20,60,500,0.01,0.16837011797492824
20,70,200,0.001,0.406972251383378
20,70,200,0.002,0.19383952676987187
20,70,200,0.003,0.18418790311338898
20,70,200,0.004,0.19195742313526704
20,70,200,0.005,0.27152587077277507
20,70,200,0.006,0.2450101914037355
20,70,200,0.007,0.19102735235710624
20,70,200,0.008,0.18720057282062014
20,70,200,0.009,0.16382898586159217
20,70,200,0.01,0.18323748137371743
20,70,300,0.001,0.23433761872239345
20,70,300,0.002,0.5146851553829535
20,70,300,0.003,0.19045012394451735
20,70,300,0.004,0.18976776017233957
20,70,300,0.005,0.1774685432083884
20,70,300,0.006,0.16505410588206632
20,70,300,0.007,0.17253277821868673
20,70,300,0.008,0.20896205022418873
20,70,300,0.009,0.18026468069152665
20,70,300,0.01,0.20267921719571147
20,70,400,0.001,0.1541241601708912
20,70,400,0.002,0.19063841954235433
20,70,400,0.003,0.19503999521618395
20,70,400,0.004,0.1950683887277771
20,70,400,0.005,0.19865882527167564
20,70,400,0.006,0.2036507344516187
20,70,400,0.007,0.19603905696114882
20,70,400,0.008,0.18083115137591343
20,70,400,0.009,0.242426219479382
20,70,400,0.01,0.1518280279295411
20,70,500,0.001,0.17866865404467533
20,70,500,0.002,0.2012864588930003
20,70,500,0.003,0.17901894937490062
20,70,500,0.004,0.20343432077423257
20,70,500,0.005,0.1864334637509892
20,70,500,0.006,0.1970189987370991
20,70,500,0.007,0.21533001080827913
20,70,500,0.008,0.18146098281980327
20,70,500,0.009,0.19491454195517813
20,70,500,0.01,0.2310048935063223
20,80,200,0.001,0.4732659902294855
20,80,200,0.002,0.21474269858755524
20,80,200,0.003,0.19896344872859853
20,80,200,0.004,0.2329560224898233
20,80,200,0.005,0.20527860583395716
20,80,200,0.006,0.17551267785270408
20,80,200,0.007,0.1625390810762683
20,80,200,0.008,0.17706256311791524
20,80,200,0.009,0.1788757768829029
20,80,200,0.01,0.1657589514437364
20,80,300,0.001,0.2339584901550746
20,80,300,0.002,0.19695844458506873
20,80,300,0.003,0.1906583136877495
20,80,300,0.004,0.21704278934638793
20,80,300,0.005,0.2555269228306896
20,80,300,0.006,0.17835223526700672
20,80,300,0.007,0.19447556563282634
20,80,300,0.008,0.2106412155807915
20,80,300,0.009,0.1863801216348267
20,80,300,0.01,0.17321299993491615
20,80,400,0.001,0.3409130115304558
20,80,400,0.002,0.1892388998132572
20,80,400,0.003,0.19682858020855867
20,80,400,0.004,0.19181723022659197
20,80,400,0.005,0.23784557983469135
20,80,400,0.006,0.19958986494095798
20,80,400,0.007,0.18949310905175903
20,80,400,0.008,0.18345577794328288
20,80,400,0.009,0.16756209281024337
20,80,400,0.01,0.19387383743677725
20,80,500,0.001,0.20560585269154721
20,80,500,0.002,0.2045434733106206
20,80,500,0.003,0.1907126248601318
20,80,500,0.004,0.20348913891116774
20,80,500,0.005,0.186081426820169
20,80,500,0.006,0.1932846589575226
20,80,500,0.007,0.17183174626839415
20,80,500,0.008,0.17823067259990133
20,80,500,0.009,0.17034502555798522
20,80,500,0.01,0.17822112364490417
20,90,200,0.001,0.3287111682845501
20,90,200,0.002,0.20969845630785405
20,90,200,0.003,0.19157360084234568
20,90,200,0.004,0.23410914500694666
20,90,200,0.005,0.19665514091219213
20,90,200,0.006,0.18592641406469104
20,90,200,0.007,0.18900628386262092
20,90,200,0.008,0.1841453637265701
20,90,200,0.009,0.16676033293923384
20,90,200,0.01,0.18657313039691387
20,90,300,0.001,0.19510313304064733
20,90,300,0.002,0.21645340821061881
20,90,300,0.003,0.1864713744383195
20,90,300,0.004,0.25585474870956404
20,90,300,0.005,0.19120960687036864
20,90,300,0.006,0.28718800323314525
20,90,300,0.007,0.17222571764075353
20,90,300,0.008,0.1629732250605689
20,90,300,0.009,0.16749534403300506
20,90,300,0.01,0.1598900556726438
20,90,400,0.001,0.2705416317523476
20,90,400,0.002,0.20333383198224936
20,90,400,0.003,0.2070066061547221
20,90,400,0.004,0.19733271253921406
20,90,400,0.005,0.1777884775315674
20,90,400,0.006,0.18394091724619757
20,90,400,0.007,0.17838789529483134
20,90,400,0.008,0.16082394641516248
20,90,400,0.009,0.41218713449701505
20,90,400,0.01,0.17087131447896173
20,90,500,0.001,0.46903018081048736
20,90,500,0.002,0.2040913081848003
20,90,500,0.003,0.2064150784590141
20,90,500,0.004,0.19030371597637943
20,90,500,0.005,0.20764202103024945
20,90,500,0.006,0.38035937999513225
20,90,500,0.007,0.18081937236889994
20,90,500,0.008,0.16817078016254955
20,90,500,0.009,0.18609888608271802
20,90,500,0.01,0.17014124647436396
20,100,200,0.001,0.2269218872962306
20,100,200,0.002,0.19396956974403384
20,100,200,0.003,0.14138819713145842
20,100,200,0.004,0.2069763317614484
20,100,200,0.005,0.16482117412188743
20,100,200,0.006,0.18087753955675423
20,100,200,0.007,0.20584494221196006
20,100,200,0.008,0.149341109190311
20,100,200,0.009,0.160453084361805
20,100,200,0.01,0.30966877728781106
20,100,300,0.001,0.18825064136547373
20,100,300,0.002,0.1973803072678778
20,100,300,0.003,0.2032631257545401
20,100,300,0.004,0.23406953703327463
20,100,300,0.005,0.25986568897536894
20,100,300,0.006,0.1711064380090379
20,100,300,0.007,0.1787047928753726
20,100,300,0.008,0.1713205323471604
20,100,300,0.009,0.3336005758082863
20,100,300,0.01,0.19108869920459604
20,100,400,0.001,0.29459787568295615
20,100,400,0.002,0.2506927882141104
20,100,400,0.003,0.17537178955689614
20,100,400,0.004,0.18444200038773986
20,100,400,0.005,0.17411382944132103
20,100,400,0.006,0.17175552210853356
20,100,400,0.007,0.17532201835658093
20,100,400,0.008,0.16418957446433038
20,100,400,0.009,0.15815672397828212
20,100,400,0.01,0.20126562165690728
20,100,500,0.001,0.24233580349380462
20,100,500,0.002,0.14439568944383427
20,100,500,0.003,0.2281464475671825
20,100,500,0.004,0.20251829210761318
20,100,500,0.005,0.21105098722466564
20,100,500,0.006,0.19879068227500937
20,100,500,0.007,0.16438993180033826
20,100,500,0.008,0.1602400971287061
20,100,500,0.009,0.23143969590896676
20,100,500,0.01,0.35638674375594265
24,50,200,0.001,0.27013529675993386
24,50,200,0.002,0.23988690407270355
24,50,200,0.003,0.25229770242893024
24,50,200,0.004,0.268658551571936
24,50,200,0.005,0.26048943519933654
24,50,200,0.006,0.26368752073342383
24,50,200,0.007,0.2714506934708307
24,50,200,0.008,0.33269641760277824
24,50,200,0.009,0.4134371933536444
24,50,200,0.01,0.5370313493438357
24,50,300,0.001,0.12789132681885163
