date;inflation
1957m7;40.90
1957m8;37.40
1957m9;43.70
1957m10;27.70
1957m11;19.80
1957m12;17.20
1958m1;21.30
1958m2;24.80
1958m3;25.00
1958m4;22.40
1958m5;23.00
1958m6;20.20
1958m7;16.30
1958m8;16.20
1958m9;6.00
1958m10;15.90
1958m11;27.20
1958m12;32.50
1959m1;32.60
1959m2;34.20
1959m3;36.70
1959m4;37.90
1959m5;38.70
1959m6;39.90
1959m7;44.00
1959m8;43.70
1959m9;42.50
1959m10;42.80
1959m11;36.30
1959m12;33.20
1960m1;30.90
1960m2;25.40
1960m3;20.40
1960m4;15.00
1960m5;11.90
1960m6;9.20
1960m7;7.30
1960m8;6.40
1960m9;6.10
1960m10;3.80
1960m11;5.80
1960m12;5.50
1961m1;5.90
1961m2;6.20
1961m3;6.40
1961m4;7.80
1961m5;8.30
1961m6;8.80
1961m7;7.60
1961m8;7.30
1961m9;7.50
1961m10;8.30
1961m11;8.40
1961m12;9.60
1962m1;9.50
1962m2;10.10
1962m3;9.90
1962m4;9.50
1962m5;9.70
1962m6;10.90
1962m7;10.50
1962m8;10.80
1962m9;12.30
1962m10;18.40
1962m11;25.90
1962m12;27.70
1963m1;29.60
1963m2;35.90
1963m3;39.20
1963m4;42.50
1963m5;46.30
1963m6;46.60
1963m7;48.80
1963m8;51.10
1963m9;53.60
1963m10;46.40
1963m11;43.50
1963m12;45.30
1964m1;42.80
1964m2;48.20
1964m3;50.60
1964m4;51.00
1964m5;47.30
1964m6;48.20
1964m7;48.00
1964m8;47.50
1964m9;44.70
1964m10;47.50
1964m11;40.10
1964m12;38.50
1965m1;38.30
1965m2;28.50
1965m3;27.20
1965m4;32.20
1965m5;33.20
1965m6;30.40
1965m7;28.20
1965m8;27.80
1965m9;25.90
1965m10;24.10
1965m11;27.60
1965m12;25.80
1966m1;27.50
1966m2;28.50
1966m3;26.90
1966m4;20.40
1966m5;19.50
1966m6;21.70
1966m7;23.60
1966m8;22.70
1966m9;25.90
1966m10;23.20
1966m11;19.50
1966m12;17.00
1967m1;17.20
1967m2;16.90
1967m3;16.30
1967m4;17.00
1967m5;18.50
1967m6;18.90
1967m7;19.00
1967m8;17.40
1967m9;16.60
1967m10;17.90
1967m11;19.70
1967m12;21.90
1968m1;25.30
1968m2;25.30
1968m3;25.00
1968m4;25.60
1968m5;25.60
1968m6;26.40
1968m7;27.00
1968m8;28.40
1968m9;26.50
1968m10;27.10
1968m11;28.60
1968m12;27.90
1969m1;27.00
1969m2;30.40
1969m3;32.40
1969m4;33.20
1969m5;33.60
1969m6;32.80
1969m7;30.70
1969m8;31.20
1969m9;30.20
1969m10;28.90
1969m11;28.40
1969m12;29.30
1970m1;31.70
1970m2;31.30
1970m3;31.80
1970m4;30.90
1970m5;30.30
1970m6;29.80
1970m7;30.80
1970m8;32.00
1970m9;34.90
1970m10;35.60
1970m11;35.30
1970m12;34.90
1971m1;28.10
1971m2;22.80
1971m3;20.10
1971m4;20.20
1971m5;21.00
1971m6;21.10
1971m7;19.10
1971m8;17.40
1971m9;15.60
1971m10;16.50
1971m11;18.90
1971m12;22.10
1972m1;24.80
1972m2;32.00
1972m3;34.00
1972m4;38.10
1972m5;40.00
1972m6;40.10
1972m7;45.90
1972m8;77.20
1972m9;114.30
1972m10;142.90
1972m11;149.80
1972m12;163.40
1973m1;180.30
1973m2;174.20
1973m3;183.30
1973m4;195.50
1973m5;238.50
1973m6;283.40
1973m7;323.20
1973m8;303.60
1973m9;286.00
1973m10;528.40
1973m11;528.90
1973m12;508.10
1974m1;529.10
1974m2;651.90
1974m3;708.80
1974m4;746.30
1974m5;670.20
1974m6;704.60
1974m7;678.20
1974m8;637.20
1974m9;611.50
1974m10;351.00
1974m11;368.10
1974m12;375.90
1975m1;375.10
1975m2;344.80
1975m3;371.90
1975m4;394.30
1975m5;427.40
1975m6;422.90
1975m7;412.50
1975m8;403.30
1975m9;387.40
1975m10;344.40
1975m11;338.20
1975m12;340.70
1976m1;327.30
1976m2;303.50
